problem,data,model,model_label,N,seed,test_fe,val_fe,best_epoch,epochs_run,w,n_params
Fourier(16),fourier16,nn_only,NN-only,128,9,0.1408,0.1402,400,,,20769.0
Fourier(16),fourier16,peds,PEDS físico,256,0,0.0869,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,1,0.0867,0.0838,390,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,2,0.0868,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,3,0.0871,0.0841,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,4,0.0869,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,5,0.0868,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,6,0.0872,0.0841,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,7,0.0869,0.084,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,8,0.0868,0.0839,400,,,20753.0
Fourier(16),fourier16,peds,PEDS físico,256,9,0.0868,0.0838,400,,,20753.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,0,0.3511,0.355,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,1,0.236,0.2373,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,2,0.2079,0.2021,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,3,0.2257,0.2313,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,4,0.177,0.1849,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,5,0.2442,0.2461,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,6,0.2235,0.226,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,7,0.2172,0.2193,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,8,0.1968,0.1899,400,,,20770.0
Fourier(16),fourier16,peds_afim,PEDS-afim,256,9,0.3288,0.3151,400,,,20770.0
