Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 20:16:56,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",1,2.11,10.2%,89.8%,16,2,15.58,1.97,0.84,12.77,5.39%,12.64%,81.97%,8188.0,2677.25,17.77,5492.98,0.22%,32.7%,67.08%,44
2026-06-01 20:17:00,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",2,1.94,6.5%,93.5%,16,1,15.58,1.97,0.84,12.77,5.39%,12.64%,81.97%,8188.0,2663.62,17.77,5506.61,0.22%,32.53%,67.25%,44
2026-06-01 20:17:02,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",3,1.97,7.1%,92.9%,16,1,15.58,1.97,0.84,12.77,5.39%,12.64%,81.97%,8188.0,2663.62,17.77,5506.61,0.22%,32.53%,67.25%,44
2026-06-01 20:17:03,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",4,1.96,6.6%,93.4%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2663.62,17.77,5506.61,0.22%,32.53%,67.25%,44
2026-06-01 20:17:05,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",5,1.95,6.4%,93.6%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.75,17.77,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:07,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",6,1.93,6.5%,93.5%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.75,17.77,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:11,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",7,2.01,7.1%,92.9%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:13,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",8,1.95,6.5%,93.5%,16,2,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:15,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",9,1.94,6.5%,93.5%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:17,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",10,1.95,6.4%,93.6%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2646.8,17.78,5523.42,0.22%,32.33%,67.45%,44
2026-06-01 20:17:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",11,1.94,6.4%,93.6%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2646.8,17.78,5523.42,0.22%,32.33%,67.45%,44
2026-06-01 20:17:23,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",12,1.98,7.1%,92.9%,16,1,15.58,1.97,0.84,12.77,5.39%,12.64%,81.97%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:25,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",13,2.0,6.5%,93.5%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:27,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",14,1.94,6.5%,93.5%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:29,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",15,1.96,6.4%,93.6%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
2026-06-01 20:17:31,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Fisher25_PEDS_m1,"23,066",16,1.96,6.4%,93.6%,16,1,15.58,1.98,0.84,12.76,5.39%,12.71%,81.9%,8188.0,2656.74,17.78,5513.48,0.22%,32.45%,67.33%,44
