Timestamp,SO,GPU_Nome,Modelo_IA,Total_Parametros,Época,Tempo_Treino_(s),Uso_CPU_Geral,CPU_Livre,CPU_Nucleos_Totais,CPU_Nucleos_Ativos,RAM_Total_(GB),RAM_SO_(GB),RAM_IA_(GB),RAM_Livre_(GB),RAM_P_IA,RAM_P_SO,RAM_P_Livre,VRAM_Total_(MB),VRAM_SO_(MB),VRAM_IA_(MB),VRAM_Livre_(MB),GPU_P_IA,GPU_P_SO,GPU_P_Livre,Temp_GPU_(°C)
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",1,0.05,8.6%,91.4%,16,3,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.54,25.79,5509.67,0.31%,32.4%,67.29%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",2,0.05,6.4%,93.6%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.53,25.8,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",3,0.05,6.3%,93.7%,16,3,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.53,25.8,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",4,0.05,7.4%,92.6%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.53,25.8,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",5,0.05,5.7%,94.3%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.53,25.8,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",6,0.05,6.4%,93.6%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.53,25.8,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",7,0.05,6.3%,93.7%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.52,25.81,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",8,0.05,3.9%,96.1%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.52,25.81,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",9,0.05,5.2%,94.8%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.52,25.81,5509.67,0.32%,32.4%,67.28%,46
2026-06-01 20:58:19,Linux 6.6.87.2-microsoft-standard-WSL2,NVIDIA GeForce RTX 4060,Maxwell10_NNonly_m1,"355,379",10,0.05,6.4%,93.6%,16,2,15.58,1.94,1.02,12.62,6.55%,12.45%,81.0%,8188.0,2652.52,25.81,5509.67,0.32%,32.4%,67.28%,46
